INTERNAL_CODE	KEYWORD	LABEL	CODELIST_ID	TERM_ID	KEYWORD_TYPE	TERM_NAME	SYNONYM_TYPE	SOURCE
2390	gln	LBTEST	C67154	C122121	SYNONYM	Glutamine	EXACT	SEND
2391	glycine	LBTEST	C67154	C122122	PRIMARY	 	 	 
2392	gly	LBTEST	C67154	C122122	SYNONYM	Glycine	EXACT	SEND
2393	hemoglobin s	LBTEST	C67154	C122123	PRIMARY	 	 	 
2394	hgbs	LBTEST	C67154	C122123	SYNONYM	Hemoglobin S	EXACT	SEND
2395	histidine	LBTEST	C67154	C122124	PRIMARY	 	 	 
2396	his	LBTEST	C67154	C122124	SYNONYM	Histidine	EXACT	SEND
2397	htlv-1/2 antibody	LBTEST	C67154	C122125	PRIMARY	 	 	 
2398	htlv12ab	LBTEST	C67154	C122125	SYNONYM	HTLV-1/2 Antibody	EXACT	SEND
2399	islet cell cytoplasmic igg antibody	LBTEST	C67154	C122126	PRIMARY	 	 	 
2400	icaiggab	LBTEST	C67154	C122126	SYNONYM	Islet Cell Cytoplasmic IgG Antibody	EXACT	SEND
2401	immunoglobulin g subclass 1	LBTEST	C67154	C122127	PRIMARY	 	 	 
2402	igg1	LBTEST	C67154	C122127	SYNONYM	Immunoglobulin G Subclass 1	EXACT	SEND
2403	immunoglobulin g subclass 2	LBTEST	C67154	C122128	PRIMARY	 	 	 
2404	igg2	LBTEST	C67154	C122128	SYNONYM	Immunoglobulin G Subclass 2	EXACT	SEND
2405	immunoglobulin g subclass 3	LBTEST	C67154	C122129	PRIMARY	 	 	 
2406	igg3	LBTEST	C67154	C122129	SYNONYM	Immunoglobulin G Subclass 3	EXACT	SEND
2407	immunoglobulin g subclass 4	LBTEST	C67154	C122130	PRIMARY	 	 	 
2408	igg4	LBTEST	C67154	C122130	SYNONYM	Immunoglobulin G Subclass 4	EXACT	SEND
2409	interleukin 1 alpha	LBTEST	C67154	C122131	PRIMARY	 	 	 
2410	intlk1a	LBTEST	C67154	C122131	SYNONYM	Interleukin 1 Alpha	EXACT	SEND
2411	leucine aminopeptidase	LBTEST	C67154	C122132	PRIMARY	 	 	 
2412	aryl amidase (lap)	LBTEST	C67154	C122132	SYNONYM	Leucine Aminopeptidase	EXACT	VX
2413	lap	LBTEST	C67154	C122132	SYNONYM	Leucine Aminopeptidase	EXACT	VX
2414	lap.	LBTEST	C67154	C122132	SYNONYM	Leucine Aminopeptidase	EXACT	VX
2415	leucine amino peptidase (lap)	LBTEST	C67154	C122132	SYNONYM	Leucine Aminopeptidase	EXACT	VX
2416	leucine aminopeptidase (lap)	LBTEST	C67154	C122132	SYNONYM	Leucine Aminopeptidase	EXACT	VX
2417	leucine arylamidase (lap)	LBTEST	C67154	C122132	SYNONYM	Leucine Aminopeptidase	EXACT	VX
2418	leucine-aminopeptidase (lap)	LBTEST	C67154	C122132	SYNONYM	Leucine Aminopeptidase	EXACT	VX
2419	leucine	LBTEST	C67154	C122133	PRIMARY	 	 	 
2420	leu	LBTEST	C67154	C122133	SYNONYM	Leucine	EXACT	VX
2421	lysine	LBTEST	C67154	C122134	PRIMARY	 	 	 
2422	lys	LBTEST	C67154	C122134	SYNONYM	Lysine	EXACT	SEND
2423	myelin basic protein	LBTEST	C67154	C122135	PRIMARY	 	 	 
2424	mbp	LBTEST	C67154	C122135	SYNONYM	Myelin Basic Protein	EXACT	SEND
2425	mumps virus igg antibody	LBTEST	C67154	C122136	PRIMARY	 	 	 
2426	mmpiggab	LBTEST	C67154	C122136	SYNONYM	Mumps Virus IgG Antibody	EXACT	SEND
2427	sodium/potassium	LBTEST	C67154	C122137	PRIMARY	 	 	 
2428	nak	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	EXACT	SEND
2429	sodium / potassium	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	EXACT	VX
2430	sodium /potas.	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	EXACT	VX
2431	sodium/potas.	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	EXACT	VX
2432	sodium/potasium	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	EXACT	VX
2433	sodium/potassium (sodium/potas.)	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	EXACT	VX
2434	sodium/potassium concentration	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	RELATED	VX
2435	sodium/potassium ratio	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	EXACT	VX
2436	urine sodium/potassium	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	NARROW	VX
2437	urine sodium/urine potassium (una/uk)	LBTEST	C67154	C122137	SYNONYM	Sodium/Potassium	NARROW	VX
2438	normetanephrine	LBTEST	C67154	C122138	PRIMARY	 	 	 
2439	normeta	LBTEST	C67154	C122138	SYNONYM	Normetanephrine	EXACT	SEND
2440	oligoclonal bands	LBTEST	C67154	C122139	PRIMARY	 	 	 
2441	oligband	LBTEST	C67154	C122139	SYNONYM	Oligoclonal Bands	EXACT	SEND
2442	ornithine	LBTEST	C67154	C122140	PRIMARY	 	 	 
2443	ornithin	LBTEST	C67154	C122140	SYNONYM	Ornithine	EXACT	SEND
2444	proline	LBTEST	C67154	C122141	PRIMARY	 	 	 
2445	pro	LBTEST	C67154	C122141	SYNONYM	Proline	EXACT	VX
2446	protein s, free	LBTEST	C67154	C122142	PRIMARY	 	 	 
2447	protsfr	LBTEST	C67154	C122142	SYNONYM	Protein S, Free	EXACT	SEND
2448	phosphatidylserine iga antibody	LBTEST	C67154	C122143	PRIMARY	 	 	 
2449	psigaab	LBTEST	C67154	C122143	SYNONYM	Phosphatidylserine IgA Antibody	EXACT	SEND
2450	phosphatidylserine igg antibody	LBTEST	C67154	C122144	PRIMARY	 	 	 
2451	psiggab	LBTEST	C67154	C122144	SYNONYM	Phosphatidylserine IgG Antibody	EXACT	SEND
2452	phosphatidylserine igm antibody	LBTEST	C67154	C122145	PRIMARY	 	 	 
2453	psigmab	LBTEST	C67154	C122145	SYNONYM	Phosphatidylserine IgM Antibody	EXACT	SEND
2454	reactive oxygen metabolite	LBTEST	C67154	C122146	PRIMARY	 	 	 
2455	rom	LBTEST	C67154	C122146	SYNONYM	Reactive Oxygen Metabolite	EXACT	SEND
2456	rna polymerase iii igg antibody	LBTEST	C67154	C122147	PRIMARY	 	 	 
2457	rp3iggab	LBTEST	C67154	C122147	SYNONYM	RNA Polymerase III IgG Antibody	EXACT	SEND
2458	scl-70 igg antibody	LBTEST	C67154	C122148	PRIMARY	 	 	 
2459	scl70gab	LBTEST	C67154	C122148	SYNONYM	Scl-70 IgG Antibody	EXACT	SEND
2460	serine	LBTEST	C67154	C122149	PRIMARY	 	 	 
2461	ser	LBTEST	C67154	C122149	SYNONYM	Serine	EXACT	SEND
2462	soluble liver antigen igg antibody	LBTEST	C67154	C122150	PRIMARY	 	 	 
2463	slaiggab	LBTEST	C67154	C122150	SYNONYM	Soluble Liver Antigen IgG Antibody	EXACT	SEND
2464	smooth muscle igg antibody	LBTEST	C67154	C122151	PRIMARY	 	 	 
2465	smuscgab	LBTEST	C67154	C122151	SYNONYM	Smooth Muscle IgG Antibody	EXACT	SEND
2466	streptococcus pneumoniae antigen	LBTEST	C67154	C122152	PRIMARY	 	 	 
2467	spnag	LBTEST	C67154	C122152	SYNONYM	Streptococcus pneumoniae Antigen	EXACT	SEND
2468	sulfate	LBTEST	C67154	C122153	PRIMARY	 	 	 
2469	taurine	LBTEST	C67154	C122154	PRIMARY	 	 	 
2470	transforming growth factor beta	LBTEST	C67154	C122155	PRIMARY	 	 	 
2471	tgfb	LBTEST	C67154	C122155	SYNONYM	Transforming Growth Factor Beta	EXACT	SEND
2472	threonine	LBTEST	C67154	C122156	PRIMARY	 	 	 
2473	thr	LBTEST	C67154	C122156	SYNONYM	Threonine	EXACT	SEND
2474	t-lymphocytes	LBTEST	C67154	C122157	PRIMARY	 	 	 
2475	t-cell lymphocytes	LBTEST	C67154	C122157	SYNONYM	T-Lymphocytes	RELATED	VX
2476	t4 lymphocyte	LBTEST	C67154	C122157	SYNONYM	T-Lymphocytes	EXACT	VX
2477	t8 lymphocyte	LBTEST	C67154	C122157	SYNONYM	T-Lymphocytes	EXACT	VX
2478	tlyce	LBTEST	C67154	C122157	SYNONYM	T-Lymphocytes	EXACT	SEND
2479	total t-cell lymphocytes (ttl%)	LBTEST	C67154	C122157	SYNONYM	T-Lymphocytes	RELATED	VX
2480	total t-cell lymphocytes (ttl)	LBTEST	C67154	C122157	SYNONYM	T-Lymphocytes	RELATED	VX
2481	total t-cell lymphocytes % (ttl%)	LBTEST	C67154	C122157	SYNONYM	T-Lymphocytes	RELATED	VX
2482	thyrotropin receptor antibody	LBTEST	C67154	C122158	PRIMARY	 	 	 
2483	tshrab	LBTEST	C67154	C122158	SYNONYM	Thyrotropin Receptor Antibody	EXACT	SEND
2484	tyrosine	LBTEST	C67154	C122159	PRIMARY	 	 	 
2485	tyr	LBTEST	C67154	C122159	SYNONYM	Tyrosine	EXACT	SEND
2486	valine	LBTEST	C67154	C122160	PRIMARY	 	 	 
2487	val	LBTEST	C67154	C122160	SYNONYM	Valine	EXACT	SEND
2488	methionine	LBTEST	C67154	C122238	PRIMARY	 	 	 
2489	met	LBTEST	C67154	C122238	SYNONYM	Methionine	EXACT	SEND
2490	beta-cell function	LBTEST	C67154	C123455	PRIMARY	 	 	 
2491	bcefnctn	LBTEST	C67154	C123455	SYNONYM	Beta-cell Function	EXACT	SEND
2492	insulin resistance	LBTEST	C67154	C123458	PRIMARY	 	 	 
2493	insulinr	LBTEST	C67154	C123458	SYNONYM	Insulin Resistance	EXACT	SEND
2494	insulin sensitivity	LBTEST	C67154	C123459	PRIMARY	 	 	 
2495	insulins	LBTEST	C67154	C123459	SYNONYM	Insulin Sensitivity	EXACT	SEND
2496	macrophages/leukocytes	LBTEST	C67154	C123460	PRIMARY	 	 	 
2497	mcphgle	LBTEST	C67154	C123460	SYNONYM	Macrophages/Leukocytes	EXACT	SEND
2498	mixed lymphocyte reaction	LBTEST	C67154	C16790	PRIMARY	 	 	 
2499	mlr	LBTEST	C67154	C16790	SYNONYM	Mixed Lymphocyte Reaction	EXACT	SEND
2500	prostate specific antigen	LBTEST	C67154	C17634	PRIMARY	 	 	 
2501	psa	LBTEST	C67154	C17634	SYNONYM	Prostate Specific Antigen	EXACT	SEND
2502	specimen appearance	LBTEST	C67154	C25377	PRIMARY	 	 	 
2503	appear	LBTEST	C67154	C25377	SYNONYM	Specimen Appearance	EXACT	SEND
2504	appearance	LBTEST	C67154	C25377	SYNONYM	Specimen Appearance	EXACT	VX
2505	appearance (app)	LBTEST	C67154	C25377	SYNONYM	Specimen Appearance	EXACT	VX
2506	creatinine clearance	LBTEST	C67154	C25747	PRIMARY	 	 	 
2507	creatclr	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	EXACT	SEND
2508	creatinine clearance-w/o body weight	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	RELATED	VX
2509	creatinine (0-6h)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2510	creatinine (0h)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2511	creatinine (24h)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2512	creatinine (6-24h)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2513	creatinine clearance (clear)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	EXACT	VX
2514	creatinine clearance (creat. cr.)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	EXACT	VX
2515	creatinine clearance (creat.cr.)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	EXACT	VX
2516	creatinine clearance values (creat clnc)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	EXACT	VX
2517	creatinine clearence	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	EXACT	VX
2518	creatinine content/24h	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2519	creatinine excretion (crea*vol)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2520	creatinine/24 h	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2521	creatinine/24h (creat/24h)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2522	creatinine/period	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2523	elimination of creatinine	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	RELATED	VX
2524	endogenic creatinine clearance (cl.cre)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2525	total urinary creatinine 0-24h	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2526	total urinary creatinine 6-24h	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2527	urinary elimination of creatinine	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2528	urinary elimination of creatinine (el. of creatinine)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	RELATED	VX
2529	urine creatinine/period	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2530	urine creatinine (ucre) 6h	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2531	urine creatinine/period (ucrep)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2532	urine creatinine/pperiod (ucrep)	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2533	urine creatinine/period (ucrep) 6h	LBTEST	C67154	C25747	SYNONYM	Creatinine Clearance	NARROW	VX
2534	bilirubin	LBTEST	C67154	C38037	PRIMARY	 	 	 
2535	"bilirubin, total"	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2536	bibli-t	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2537	bil	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2538	bil: total biiirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2539	bil: total bilirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2540	bili	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	SEND
2541	bili . t.	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2542	bili- t	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2543	bili-t	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2544	bili-tot	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2545	bili. t.	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2546	bili.t.	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2547	bilirubin (0-2 hours post-dosing)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2548	bilirubin (2-5 hours post-dosing)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2549	bilirubin (total): g	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2550	bilirubin (total):g	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2551	bilirubin -total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2552	bilirubin total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2553	bilirubin, total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2554	bilrub total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2555	bilt	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2556	biu: biiirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2557	biu: bilirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2558	biu: bilurubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2559	bbilirubin (total) (bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2560	biilirubin (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2561	biirubin total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2562	biliorubin (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2563	bilirubin   total (tbil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2564	bilirubin (bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2565	bilirubin (bili t.)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2566	bilirubin (bili total)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2567	bilirubin (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2568	bilirubin (bili-q)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2569	bilirubin (bili-t)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2570	bilirubin (bili. t)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2571	bilirubin (bili. total)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2572	bilirubin (bilirubine)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2573	bilirubin (biln)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2574	bilirubin (bilu)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2575	bilirubin (bili-tot)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2576	bilirubin (blr)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2577	bilirubin (reagent-test-strip)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2578	bilirubin (red blood cells)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2579	bilirubin (s-blr)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2580	bilirubin (t.bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2581	bilirubin (t.bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2582	bilirubin (tbil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2583	bilirubin (tot_bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2584	bilirubin (total) (tbil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2585	bilirubin (ubil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2586	bilirubin (sq)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2587	bilirubin (total)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2588	bilirubin (total) (bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2589	bilirubin (total) (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2590	bilirubin (total) (t.bi)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2591	bilirubin (total) (total bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2592	bilirubin (total) increase	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2593	bilirubin (total)tbil	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2594	bilirubin (urine) (bilu)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2595	bilirubin - total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2596	bilirubin - total (tbil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2597	bilirubin - total (bilbt)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2598	bilirubin - total (bili. t.)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2599	bilirubin - total (bilt)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2600	bilirubin - total (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2601	bilirubin - total (bilit)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2602	bilirubin - total (ntbl)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2603	bilirubin - total (t bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2604	bilirubin - total (t-bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2605	bilirubin - total (t. bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2606	bilirubin - total (t.bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2607	bilirubin - total (t.bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2608	bilirubin concentration	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2609	bilirubin negative	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2610	bilirubin reagent strip	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2611	bilirubin small	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2612	bilirubin tot	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2613	bilirubin tot.	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2614	bilirubin total (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2615	bilirubin total (bili).	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2616	bilirubin total (bili-t)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2617	bilirubin total (bili.t.)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2618	bilirubin total (tbil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2619	bilirubin urinary (strip)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2620	bilirubin, arb. molc. (ictotest, 0-1)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2621	bilirubin, dipstick (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2622	bilirubin, maximal	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2623	bilirubin, minimal	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2624	bilirubin, total (bili t.)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2625	bilirubin, total (bili-t)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2626	bilirubin, total (bili. t)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2627	bilirubin, total (bili. t.)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2628	bilirubin, total (bill t)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2629	bilirubin, total (blli. t)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2630	bilirubin, total (bili-tot)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2631	bilirubin, total (tbil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2632	bilirubin, total (total bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2633	bilirubin-total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2634	bilirubine	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2635	bilirubine totale (bili.t)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2636	bilirubine, dipstick (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2637	bilirubins	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2638	bilirubins (bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2639	bilirubins (u-blr)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2640	bilirubins (ublr)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2641	bilirubins (non-esterified + esterified)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2642	bilirubins (non-esterified+esters)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2643	bilirubins (non-esterified+esters) (bil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2644	bilirubins, pool 1	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2645	bilirubins, pool 2	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2646	bilirubun	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2647	bilirubun (bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2648	bilirubun (t bili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2649	bilirubun (tbil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2650	bilirubun (tbili)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2651	bilirubun total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2652	fbs	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2653	p-tobil	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2654	plasma bilirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2655	plasma total bilirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2656	plasma total bilirubin (pbli )	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2657	plasma total bilirubin (pbli)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2658	reagent strip - bilirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2659	s-tobil	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2660	s-total bilirubin (s-blr)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2661	s-bilirubins	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2662	s-bilirubins (s-blr)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	NARROW	VX
2663	s-bilirubins (non-esterified+esters)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2664	s-bilirubins (non-esterified+esters) (s-blr)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2665	s-bilirubins (non-esterified+esters), substc., (s-blr)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2666	serum bilirubin, total (tbil)	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2667	serum total bilirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2668	t bili	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2669	t bili:bilirubin total	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2670	t bili:total bilirubin	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2671	t-bil	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2672	t. bili	LBTEST	C67154	C38037	SYNONYM	Bilirubin	EXACT	VX
2673	t. bil	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
2674	t. bil.	LBTEST	C67154	C38037	SYNONYM	Bilirubin	RELATED	VX
